Campaign ID,Campaign Name,Adgroup ID,Adgroup Name,Criterion ID,Criterion Name,Start Date,End Date,Current Bid,Bid,Clicks,Costs,Impressions
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.01,0,0.00,3
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.04,0,0.00,9
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.13,0,0.00,9
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.14,0,0.00,9
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.25,0,0.00,9
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.56,0,0.00,9
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.92,0,0.00,9
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,0.99,0,0.00,9
246877210,GSN - Caps - Brand: Golden Gate - Brands,19110910090,GSN Brands - Golden Gate Caps,104153165770,golden gate caps,20160228,20160305,0.25,1.14,0,0.00,9
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,0.04,0,0.00,2
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,0.16,0,0.00,6
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,0.28,0,0.00,10
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,0.37,0,0.00,14
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,0.43,0,0.00,18
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,0.56,0,0.00,21
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,0.75,0,0.00,22
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,1.01,0,0.00,24
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,1.12,0,0.00,24
246635290,GSN - Cocktail Hats - General,19091325250,GSN General - Cocktail Hats,18283950120,cocktail hats,20160228,20160305,0.16,1.24,1,0.09,27
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,0.01,0,0.00,28
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,0.13,0,0.00,32
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,0.25,0,0.00,32
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,0.40,0,0.00,35
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,0.63,0,0.00,36
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,1.12,0,0.00,38
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,1.54,0,0.00,38
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,2.46,0,0.00,39
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,2.55,0,0.00,39
246879010,GSN - Costume Hats - Brand: Elope - Brands,19110912370,GSN Brands - Elope Costume Hats,18283950120,elope costume hats,20160228,20160305,0.25,2.81,0,0.00,41
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,0.01,12,0.10,674
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,0.26,79,7.46,6220
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,0.47,163,34.60,12300
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,0.68,262,83.60,18100
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,0.91,355,148.00,23700
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,1.18,441,224.00,28900
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,1.57,523,321.00,33000
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,2.03,591,428.00,35600
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,2.52,634,509.00,37300
246635530,GSN - Cowboy Hats - General,19091325730,GSN General - Cowboy Hats,82822907667,cowboy hats,20160228,20160305,0.26,3.01,660,564.00,38300
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,0.01,10,0.12,787
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,0.31,84,12.20,9110
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,0.59,232,63.30,20100
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,0.79,469,182.00,32500
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,0.99,735,367.00,44500
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,1.24,1040,642.00,56100
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,1.57,1360,1,020.00,65600
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,2.02,1630,1,450.00,72200
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,2.51,1790,1,760.00,75600
246637210,GSN - Western Hats - General,19091331130,GSN General - Western Hats,18283950120,western hats,20160228,20160305,0.31,3.01,1880,1,980.00,77600
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.01,2,0.01,39
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.08,27,0.63,358
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.22,40,1.79,622
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.30,45,2.52,904
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.39,51,4.01,1210
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.45,57,5.45,1470
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.59,63,7.89,1680
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.78,67,10.60,1770
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,0.97,70,13.00,1820
246879130,GSN - Cowboy Hats - Brand: Atwood - Brands,19110912490,GSN Brands - Atwood Cowboy Hats,18283950120,atwood cowboy hats,20160228,20160305,0.30,1.16,72,14.90,1850
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,0.01,6,0.09,823
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,0.17,52,5.55,6560
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,0.27,101,17.40,10700
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,0.45,156,40.60,14500
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,0.71,223,92.40,18000
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,1.05,282,153.00,21000
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,1.44,327,219.00,23100
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,1.89,358,289.00,24500
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,2.35,372,340.00,25200
246634930,GSN - Church Hats - General,19091322970,GSN General - Church Hats,18283950120,church hats,20160228,20160305,0.17,2.82,379,372.00,25500
